source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0071375,cellular response to peptide hormone stimulus,3.871773391301098e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [GOC:mah]",336,67,10,24936,0.14925373134328357,0.02976190476190476,query_1,"['GO:0032870', 'GO:0043434', 'GO:1901699', 'GO:1901701']","['ENSMUSG00000023034', 'ENSMUSG00000030279', 'ENSMUSG00000004040', 'ENSMUSG00000004043', 'ENSMUSG00000027398', 'ENSMUSG00000021127', 'ENSMUSG00000021250', 'ENSMUSG00000020919', 'ENSMUSG00000024620', 'ENSMUSG00000038894']","[['IDA'], ['IMP', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IEA']]"
REAC,REAC:R-MMU-449147,Signaling by Interleukins,6.179987388503818e-05,True,Signaling by Interleukins,277,38,10,8514,0.2631578947368421,0.036101083032490974,query_1,['REAC:R-MMU-1280215'],"['ENSMUSG00000026070', 'ENSMUSG00000004040', 'ENSMUSG00000004043', 'ENSMUSG00000025225', 'ENSMUSG00000027398', 'ENSMUSG00000020592', 'ENSMUSG00000046688', 'ENSMUSG00000021250', 'ENSMUSG00000020919', 'ENSMUSG00000038894']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
GO:CC,GO:0005737,cytoplasm,7.319881228226241e-05,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",10727,67,49,25413,0.7313432835820896,0.004567912743544327,query_1,"['GO:0005622', 'GO:0110165']","['ENSMUSG00000021765', 'ENSMUSG00000066258', 'ENSMUSG00000023034', 'ENSMUSG00000037820', 'ENSMUSG00000028755', 'ENSMUSG00000020741', 'ENSMUSG00000030279', 'ENSMUSG00000000555', 'ENSMUSG00000040964', 'ENSMUSG00000013846', 'ENSMUSG00000004040', 'ENSMUSG00000060317', 'ENSMUSG00000038539', 'ENSMUSG00000004043', 'ENSMUSG00000025225', 'ENSMUSG00000027398', 'ENSMUSG00000058013', 'ENSMUSG00000002900', 'ENSMUSG00000021127', 'ENSMUSG00000023067', 'ENSMUSG00000020592', 'ENSMUSG00000044734', 'ENSMUSG00000039145', 'ENSMUSG00000001229', 'ENSMUSG00000032420', 'ENSMUSG00000039254', 'ENSMUSG00000046688', 'ENSMUSG00000022957', 'ENSMUSG00000005125', 'ENSMUSG00000024913', 'ENSMUSG00000030302', 'ENSMUSG00000017639', 'ENSMUSG00000021250', 'ENSMUSG00000024824', 'ENSMUSG00000020642', 'ENSMUSG00000032290', 'ENSMUSG00000020919', 'ENSMUSG00000021196', 'ENSMUSG00000024131', 'ENSMUSG00000070436', 'ENSMUSG00000025178', 'ENSMUSG00000001473', 'ENSMUSG00000030199', 'ENSMUSG00000027580', 'ENSMUSG00000041773', 'ENSMUSG00000024620', 'ENSMUSG00000026470', 'ENSMUSG00000021559', 'ENSMUSG00000038894']","[['IDA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'ISA', 'TAS', 'IEA'], ['IDA', 'ISO', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IDA', 'ISS', 'ISO', 'IEA'], ['IDA', 'IEA'], ['TAS'], ['IEA'], ['ISS', 'ISO', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IEA'], ['HDA', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['HDA', 'IEA'], ['IDA', 'ISO', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'ISS', 'ISO', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA']]"
GO:BP,GO:0030154,cell differentiation,9.298074117063407e-05,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4372,67,31,24936,0.4626865671641791,0.007090576395242452,query_1,['GO:0048869'],"['ENSMUSG00000021765', 'ENSMUSG00000023034', 'ENSMUSG00000037820', 'ENSMUSG00000037942', 'ENSMUSG00000000555', 'ENSMUSG00000022371', 'ENSMUSG00000026070', 'ENSMUSG00000013846', 'ENSMUSG00000004040', 'ENSMUSG00000038539', 'ENSMUSG00000004043', 'ENSMUSG00000025225', 'ENSMUSG00000027398', 'ENSMUSG00000002900', 'ENSMUSG00000021127', 'ENSMUSG00000023067', 'ENSMUSG00000020592', 'ENSMUSG00000039145', 'ENSMUSG00000005125', 'ENSMUSG00000022847', 'ENSMUSG00000024913', 'ENSMUSG00000047497', 'ENSMUSG00000030302', 'ENSMUSG00000021250', 'ENSMUSG00000052512', 'ENSMUSG00000032290', 'ENSMUSG00000020919', 'ENSMUSG00000070436', 'ENSMUSG00000030199', 'ENSMUSG00000041773', 'ENSMUSG00000024620']","[['IMP', 'IGI', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IGI'], ['IMP'], ['IDA', 'IGI', 'IEA'], ['IDA', 'ISS', 'NAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IGI'], ['IDA', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IMP'], ['IDA', 'ISS', 'ISO', 'IEA'], ['IMP', 'IEA'], ['IGI', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['ISO', 'IEA'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IMP'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IEA'], ['IMP', 'IGI', 'TAS']]"
GO:BP,GO:0048869,cellular developmental process,9.348844288020661e-05,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4373,67,31,24936,0.4626865671641791,0.007088954950834668,query_1,"['GO:0009987', 'GO:0032502']","['ENSMUSG00000021765', 'ENSMUSG00000023034', 'ENSMUSG00000037820', 'ENSMUSG00000037942', 'ENSMUSG00000000555', 'ENSMUSG00000022371', 'ENSMUSG00000026070', 'ENSMUSG00000013846', 'ENSMUSG00000004040', 'ENSMUSG00000038539', 'ENSMUSG00000004043', 'ENSMUSG00000025225', 'ENSMUSG00000027398', 'ENSMUSG00000002900', 'ENSMUSG00000021127', 'ENSMUSG00000023067', 'ENSMUSG00000020592', 'ENSMUSG00000039145', 'ENSMUSG00000005125', 'ENSMUSG00000022847', 'ENSMUSG00000024913', 'ENSMUSG00000047497', 'ENSMUSG00000030302', 'ENSMUSG00000021250', 'ENSMUSG00000052512', 'ENSMUSG00000032290', 'ENSMUSG00000020919', 'ENSMUSG00000070436', 'ENSMUSG00000030199', 'ENSMUSG00000041773', 'ENSMUSG00000024620']","[['IMP', 'IGI', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IGI'], ['IMP'], ['IDA', 'IGI', 'IEA'], ['IDA', 'ISS', 'NAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IGI'], ['IDA', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IMP'], ['IDA', 'ISS', 'ISO', 'IEA'], ['IMP', 'IEA'], ['IGI', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['ISO', 'IEA'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IMP'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IEA'], ['IMP', 'IGI', 'TAS']]"
GO:BP,GO:0043067,regulation of programmed cell death,0.00024434987206745085,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1417,67,17,24936,0.2537313432835821,0.011997177134791814,query_1,"['GO:0012501', 'GO:0050794']","['ENSMUSG00000023034', 'ENSMUSG00000037820', 'ENSMUSG00000000555', 'ENSMUSG00000013846', 'ENSMUSG00000038539', 'ENSMUSG00000004043', 'ENSMUSG00000027398', 'ENSMUSG00000021127', 'ENSMUSG00000023067', 'ENSMUSG00000039145', 'ENSMUSG00000001229', 'ENSMUSG00000022957', 'ENSMUSG00000024913', 'ENSMUSG00000024824', 'ENSMUSG00000020919', 'ENSMUSG00000021559', 'ENSMUSG00000038894']","[['IDA', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IMP'], ['IDA', 'IEA'], ['IMP', 'IGI'], ['IEA'], ['ISS', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IMP'], ['IMP'], ['IMP', 'IGI'], ['IGI'], ['IDA', 'IMP', 'ISO', 'IEA'], ['IMP']]"
GO:BP,GO:0048731,system development,0.00028458506792285594,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3806,67,28,24936,0.417910447761194,0.007356805044666317,query_1,"['GO:0007275', 'GO:0048856']","['ENSMUSG00000021765', 'ENSMUSG00000023034', 'ENSMUSG00000037820', 'ENSMUSG00000000555', 'ENSMUSG00000022371', 'ENSMUSG00000004040', 'ENSMUSG00000038539', 'ENSMUSG00000004043', 'ENSMUSG00000025225', 'ENSMUSG00000027398', 'ENSMUSG00000002900', 'ENSMUSG00000021127', 'ENSMUSG00000023067', 'ENSMUSG00000039145', 'ENSMUSG00000005125', 'ENSMUSG00000024913', 'ENSMUSG00000047497', 'ENSMUSG00000030302', 'ENSMUSG00000017639', 'ENSMUSG00000021250', 'ENSMUSG00000052512', 'ENSMUSG00000032290', 'ENSMUSG00000020919', 'ENSMUSG00000070436', 'ENSMUSG00000030199', 'ENSMUSG00000041773', 'ENSMUSG00000024620', 'ENSMUSG00000038894']","[['IMP', 'IGI'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['IGI', 'IEA'], ['IMP'], ['IDA', 'IMP', 'IGI'], ['IMP'], ['IMP', 'IGI'], ['IMP', 'TAS'], ['IDA', 'IMP', 'IEA'], ['IDA', 'ISS'], ['IMP'], ['IMP'], ['IMP', 'ISS', 'IEA'], ['IMP'], ['IMP', 'IGI', 'IEA'], ['IGI', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['ISO', 'IEA'], ['IGI'], ['IMP'], ['IMP'], ['IEA'], ['IMP', 'IGI', 'IEP', 'TAS', 'IEA'], ['IMP']]"
WP,WP:WP10,IL 9 signaling pathway,0.00029363514764157815,True,IL 9 signaling pathway,24,27,4,4801,0.14814814814814814,0.16666666666666666,query_1,['WP:000000'],"['ENSMUSG00000004040', 'ENSMUSG00000004043', 'ENSMUSG00000020919', 'ENSMUSG00000038894']","[['WP'], ['WP'], ['WP'], ['WP']]"
GO:BP,GO:0048518,positive regulation of biological process,0.00029789696550703193,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5712,67,35,24936,0.5223880597014925,0.006127450980392157,query_1,"['GO:0008150', 'GO:0050789']","['ENSMUSG00000021765', 'ENSMUSG00000023034', 'ENSMUSG00000037820', 'ENSMUSG00000037942', 'ENSMUSG00000030279', 'ENSMUSG00000000555', 'ENSMUSG00000040964', 'ENSMUSG00000026070', 'ENSMUSG00000004040', 'ENSMUSG00000038539', 'ENSMUSG00000004043', 'ENSMUSG00000025225', 'ENSMUSG00000027398', 'ENSMUSG00000002900', 'ENSMUSG00000021127', 'ENSMUSG00000023067', 'ENSMUSG00000020592', 'ENSMUSG00000039145', 'ENSMUSG00000046688', 'ENSMUSG00000022957', 'ENSMUSG00000022847', 'ENSMUSG00000024913', 'ENSMUSG00000030302', 'ENSMUSG00000017639', 'ENSMUSG00000021250', 'ENSMUSG00000024824', 'ENSMUSG00000020642', 'ENSMUSG00000027185', 'ENSMUSG00000032290', 'ENSMUSG00000020919', 'ENSMUSG00000030199', 'ENSMUSG00000041773', 'ENSMUSG00000024620', 'ENSMUSG00000021559', 'ENSMUSG00000038894']","[['ISO', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISO', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IEA'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'ISO', 'IEA'], ['ISS', 'NAS'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP', 'IGI', 'IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA'], ['IDA', 'ISO', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IGI'], ['IEA'], ['ISS', 'IEA'], ['ISO', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IDA'], ['IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['ISO', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA']]"
GO:BP,GO:0048468,cell development,0.0003283481492272855,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2873,67,24,24936,0.3582089552238806,0.008353637312913331,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']","['ENSMUSG00000021765', 'ENSMUSG00000037820', 'ENSMUSG00000022371', 'ENSMUSG00000026070', 'ENSMUSG00000013846', 'ENSMUSG00000004040', 'ENSMUSG00000038539', 'ENSMUSG00000004043', 'ENSMUSG00000027398', 'ENSMUSG00000002900', 'ENSMUSG00000021127', 'ENSMUSG00000020592', 'ENSMUSG00000039145', 'ENSMUSG00000005125', 'ENSMUSG00000022847', 'ENSMUSG00000024913', 'ENSMUSG00000030302', 'ENSMUSG00000021250', 'ENSMUSG00000032290', 'ENSMUSG00000020919', 'ENSMUSG00000070436', 'ENSMUSG00000030199', 'ENSMUSG00000041773', 'ENSMUSG00000024620']","[['IEA'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'ISS', 'IEA'], ['IMP'], ['IMP', 'IGI'], ['IDA', 'IGI', 'IEA'], ['IDA', 'ISS'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IMP'], ['IDA', 'ISS', 'ISO', 'IEA'], ['IMP'], ['IMP'], ['IDA', 'IEA'], ['ISO', 'IEA'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IMP'], ['ISS', 'IEA'], ['IEA'], ['IGI']]"
