source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:CC,GO:0005737,cytoplasm,0.00020879779557782623,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",10727,32,27,25413,0.84375,0.0025170131444019763,query_1,"['GO:0005622', 'GO:0110165']","['ENSMUSG00000003477', 'ENSMUSG00000029250', 'ENSMUSG00000030935', 'ENSMUSG00000028518', 'ENSMUSG00000028601', 'ENSMUSG00000021814', 'ENSMUSG00000021079', 'ENSMUSG00000026383', 'ENSMUSG00000006050', 'ENSMUSG00000028822', 'ENSMUSG00000017978', 'ENSMUSG00000024430', 'ENSMUSG00000034557', 'ENSMUSG00000056234', 'ENSMUSG00000028186', 'ENSMUSG00000073563', 'ENSMUSG00000024588', 'ENSMUSG00000062209', 'ENSMUSG00000003528', 'ENSMUSG00000028410', 'ENSMUSG00000044749', 'ENSMUSG00000021114', 'ENSMUSG00000066551', 'ENSMUSG00000032803', 'ENSMUSG00000020988', 'ENSMUSG00000022419', 'ENSMUSG00000021771']","[['IDA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'HDA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['ISO', 'IEA'], ['HDA', 'ISO', 'IEA'], ['IDA', 'HDA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'HDA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'HDA', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['HDA', 'ISS', 'ISO', 'IEA'], ['ISS', 'IEA'], ['IMP', 'HDA', 'ISS', 'IEA']]"
GO:CC,GO:0005739,mitochondrion,0.00023002293124288752,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",1853,32,12,25413,0.375,0.0064759848893685915,query_1,"['GO:0005737', 'GO:0043231']","['ENSMUSG00000029250', 'ENSMUSG00000030935', 'ENSMUSG00000028601', 'ENSMUSG00000021079', 'ENSMUSG00000056234', 'ENSMUSG00000028186', 'ENSMUSG00000024588', 'ENSMUSG00000062209', 'ENSMUSG00000003528', 'ENSMUSG00000028410', 'ENSMUSG00000020988', 'ENSMUSG00000021771']","[['IEA'], ['IDA', 'HDA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'HDA', 'IEA'], ['HDA'], ['HDA', 'IEA'], ['IDA', 'HDA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'HDA', 'IEA'], ['IEA'], ['HDA', 'ISS', 'ISO', 'IEA'], ['IMP', 'HDA', 'ISS', 'IEA']]"
HP,HP:0040144,L-2-hydroxyglutaric aciduria,0.0017616640481292252,True,An increase in the level of L-2-hydroxyglutaric acid in the urine.,2,7,2,5328,0.2857142857142857,1.0,query_1,['HP:0032278'],"['ENSMUSG00000003528', 'ENSMUSG00000020988']","[['HP'], ['HP']]"
HP,HP:0032278,2-hydroxyglutarate aciduria,0.026358863246710555,True,"The concentration of 2-hydroxyglutaric acid in the urine, normalized for urine concentration, is above the upper limit of normal.",6,7,2,5328,0.2857142857142857,0.3333333333333333,query_1,['HP:0003215'],"['ENSMUSG00000003528', 'ENSMUSG00000020988']","[['HP'], ['HP']]"
GO:CC,GO:0120025,plasma membrane bounded cell projection,0.04431695872213113,True,"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]",2186,32,10,25413,0.3125,0.004574565416285453,query_1,['GO:0042995'],"['ENSMUSG00000028518', 'ENSMUSG00000026383', 'ENSMUSG00000006050', 'ENSMUSG00000028822', 'ENSMUSG00000017978', 'ENSMUSG00000024430', 'ENSMUSG00000022464', 'ENSMUSG00000021114', 'ENSMUSG00000066551', 'ENSMUSG00000021771']","[['IGI', 'IEA'], ['IDA'], ['IEA'], ['IDA'], ['ISS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IDA']]"
