source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
KEGG,KEGG:01100,Metabolic pathways,1.997829110280858e-06,True,Metabolic pathways,1646,27,17,10539,0.6296296296296297,0.010328068043742407,query_1,['KEGG:00000'],"['ENSMUSG00000054469', 'ENSMUSG00000006057', 'ENSMUSG00000031708', 'ENSMUSG00000019718', 'ENSMUSG00000058624', 'ENSMUSG00000029162', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000022551', 'ENSMUSG00000041237', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0006753,nucleoside phosphate metabolic process,4.500023193929559e-06,True,"""The chemical reactions and pathways involving any phosphorylated nucleoside."" [GOC:mah]",588,42,11,24936,0.2619047619047619,0.01870748299319728,query_1,"['GO:0006796', 'GO:0019637', 'GO:0055086']","['ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['ISS', 'IEA'], ['IDA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0009117,nucleotide metabolic process,5.5411501762968004e-06,True,"""The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."" [GOC:ma]",453,42,10,24936,0.23809523809523808,0.02207505518763797,query_1,['GO:0006753'],"['ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IDA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IEA']]"
GO:BP,GO:0055086,nucleobase-containing small molecule metabolic process,6.157651031006946e-06,True,"""The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."" [GOC:vw]",606,42,11,24936,0.2619047619047619,0.018151815181518153,query_1,"['GO:0006139', 'GO:0044281']","['ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['ISS', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0019693,ribose phosphate metabolic process,1.0881782576976926e-05,True,"""The chemical reactions and pathways involving ribose phosphate, any phosphorylated ribose sugar."" [GOC:ai]",353,42,9,24936,0.21428571428571427,0.025495750708215296,query_1,"['GO:0006796', 'GO:0019637', 'GO:1901135']","['ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000031432', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IDA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IC', 'IEA'], ['IDA', 'IEA'], ['IEA']]"
KEGG,KEGG:05012,Parkinson disease,1.2869974636113867e-05,True,Parkinson disease,264,27,8,10539,0.2962962962962963,0.030303030303030304,query_1,['KEGG:00000'],"['ENSMUSG00000006057', 'ENSMUSG00000025487', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000024190', 'ENSMUSG00000030647', 'ENSMUSG00000018770', 'ENSMUSG00000016319']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0072521,purine-containing compound metabolic process,1.8454760782316495e-05,True,"""The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]",514,42,10,24936,0.23809523809523808,0.019455252918287938,query_1,['GO:0008152'],"['ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000025742', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['ISS', 'IEA'], ['IDA', 'IEA'], ['IMP'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IEA'], ['IDA', 'IEA']]"
GO:CC,GO:0005737,cytoplasm,2.0534320184543406e-05,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",10727,41,34,25413,0.8292682926829268,0.003169572107765452,query_1,"['GO:0005622', 'GO:0110165']","['ENSMUSG00000059327', 'ENSMUSG00000054469', 'ENSMUSG00000039166', 'ENSMUSG00000006057', 'ENSMUSG00000031708', 'ENSMUSG00000058624', 'ENSMUSG00000027792', 'ENSMUSG00000018566', 'ENSMUSG00000037573', 'ENSMUSG00000029162', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000028149', 'ENSMUSG00000026426', 'ENSMUSG00000049493', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000027438', 'ENSMUSG00000020440', 'ENSMUSG00000024190', 'ENSMUSG00000081534', 'ENSMUSG00000032372', 'ENSMUSG00000021474', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000033216', 'ENSMUSG00000055239', 'ENSMUSG00000040410', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532', 'ENSMUSG00000016319', 'ENSMUSG00000040414']","[['IDA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['HDA', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'ISO', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['IDA', 'HDA', 'ISS', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['IDA', 'IEA'], ['HDA', 'TAS', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['HDA', 'IEA'], ['IDA', 'IGI', 'HDA', 'IEA'], ['IDA', 'IMP', 'HDA', 'IEA'], ['IDA', 'HDA', 'TAS', 'IEA']]"
GO:BP,GO:0006163,purine nucleotide metabolic process,2.9404157475330243e-05,True,"""The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",396,42,9,24936,0.21428571428571427,0.022727272727272728,query_1,"['GO:0009117', 'GO:0072521']","['ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000025742', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IDA'], ['IMP'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IEA']]"
KEGG,KEGG:05415,Diabetic cardiomyopathy,4.071420032475591e-05,True,Diabetic cardiomyopathy,207,27,7,10539,0.25925925925925924,0.033816425120772944,query_1,['KEGG:00000'],"['ENSMUSG00000006057', 'ENSMUSG00000018566', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000018770', 'ENSMUSG00000016319']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
