source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0006098,pentose-phosphate shunt,4.7228464497013846e-05,True,"""The metabolic process in which glucose-6-phosphate is oxidized to form carbon dioxide (CO2) and ribulose 5-phosphate, coupled to reduction of NADP+ to NADPH; ribulose 5-P then enters a series of reactions that can yield biosynthetic precursors (ribose-5-phosphate and erythrose-4-phosphate) and glycolytic intermediates (fructose-6-phosphate and glyceraldehyde-3-phosphate)."" [GOC:pde, ISBN:0198506732, MetaCyc:PENTOSE-P-PWY]",19,42,4,24936,0.09523809523809523,0.21052631578947367,query_1,"['GO:0006740', 'GO:0051156']","['ENSMUSG00000025742', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['IMP'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
GO:BP,GO:0019637,organophosphate metabolic process,6.063641923860239e-05,True,"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]",951,42,12,24936,0.2857142857142857,0.012618296529968454,query_1,['GO:0006793'],"['ENSMUSG00000054469', 'ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['TAS', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['IMP', 'ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
KEGG,KEGG:01230,Biosynthesis of amino acids,8.163926360795611e-05,True,Biosynthesis of amino acids,77,27,5,10539,0.18518518518518517,0.06493506493506493,query_1,['KEGG:00000'],"['ENSMUSG00000025742', 'ENSMUSG00000041237', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:00030,Pentose phosphate pathway,9.443018000855342e-05,True,Pentose phosphate pathway,34,27,4,10539,0.14814814814814814,0.11764705882352941,query_1,['KEGG:00000'],"['ENSMUSG00000025742', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0006740,NADPH regeneration,0.00010737168705910923,True,"""A metabolic process that generates a pool of NADPH by the reduction of NADP+."" [GOC:mah]",23,42,4,24936,0.09523809523809523,0.17391304347826086,query_1,"['GO:0006091', 'GO:0006739']","['ENSMUSG00000025742', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['IMP'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
GO:BP,GO:1901135,carbohydrate derivative metabolic process,0.00012091359701410405,True,"""The chemical reactions and pathways involving carbohydrate derivative."" [GOC:TermGenie]",810,42,11,24936,0.2619047619047619,0.013580246913580247,query_1,['GO:0008152'],"['ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000018566', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['NAS', 'IEA'], ['IMP', 'ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA']]"
GO:CC,GO:0098803,respiratory chain complex,0.0001214998478024199,True,"""Any protein complex that is part of a respiratory chain."" [GOC:dos]",101,41,5,25413,0.12195121951219512,0.04950495049504951,query_1,['GO:0032991'],"['ENSMUSG00000006057', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IEA']]"
GO:BP,GO:0044281,small molecule metabolic process,0.00021810361813537953,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1549,42,14,24936,0.3333333333333333,0.009038089089735314,query_1,['GO:0008152'],"['ENSMUSG00000006057', 'ENSMUSG00000031708', 'ENSMUSG00000058624', 'ENSMUSG00000029162', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000021474', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
KEGG,KEGG:05020,Prion disease,0.00022372652234238234,True,Prion disease,267,27,7,10539,0.25925925925925924,0.026217228464419477,query_1,['KEGG:00000'],"['ENSMUSG00000006057', 'ENSMUSG00000025487', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000018770', 'ENSMUSG00000016319']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0051156,glucose 6-phosphate metabolic process,0.0002467611449720071,True,"""The chemical reactions and pathways involving glucose 6-phosphate, a monophosphorylated derivative of glucose with the phosphate group attached to C-6."" [GOC:ai]",28,42,4,24936,0.09523809523809523,0.14285714285714285,query_1,"['GO:0006796', 'GO:0019637', 'GO:1901135']","['ENSMUSG00000025742', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['IMP'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
GO:BP,GO:0090407,organophosphate biosynthetic process,0.0003472928648985202,True,"""The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."" [GOC:chem_mtg]",529,42,9,24936,0.21428571428571427,0.017013232514177693,query_1,"['GO:0009058', 'GO:0019637']","['ENSMUSG00000054469', 'ENSMUSG00000006057', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000030647', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA']]"
KEGG,KEGG:05016,Huntington disease,0.0005041147439683875,True,Huntington disease,302,27,7,10539,0.25925925925925924,0.023178807947019868,query_1,['KEGG:00000'],"['ENSMUSG00000006057', 'ENSMUSG00000025487', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000018770', 'ENSMUSG00000016319']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:CC,GO:0031966,mitochondrial membrane,0.0005788082845161512,True,"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]",765,41,9,25413,0.21951219512195122,0.011764705882352941,query_1,"['GO:0005740', 'GO:0031090']","['ENSMUSG00000006057', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000021474', 'ENSMUSG00000030647', 'ENSMUSG00000040410', 'ENSMUSG00000018770', 'ENSMUSG00000016319', 'ENSMUSG00000040414']","[['HDA', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['IDA', 'HDA', 'IEA'], ['HDA', 'ISS', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'HDA', 'IEA'], ['TAS', 'IEA']]"
GO:BP,GO:0046390,ribose phosphate biosynthetic process,0.0006551994955971686,True,"""The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar."" [GOC:ai]",168,42,6,24936,0.14285714285714285,0.03571428571428571,query_1,"['GO:0019693', 'GO:0090407', 'GO:1901137']","['ENSMUSG00000006057', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000030647', 'ENSMUSG00000031432', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['IDA', 'IEA'], ['IEA']]"
KEGG,KEGG:01200,Carbon metabolism,0.0007606411285856318,True,Carbon metabolism,121,27,5,10539,0.18518518518518517,0.04132231404958678,query_1,['KEGG:00000'],"['ENSMUSG00000025742', 'ENSMUSG00000041237', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0006739,NADP+ metabolic process,0.0007872748694313898,True,"""The chemical reactions and pathways involving nicotinamide adenine dinucleotide phosphate (NADP+), a coenzyme that interconverts with its reduced form, NADPH, in many redox and biosynthetic reactions."" [GOC:mah]",37,42,4,24936,0.09523809523809523,0.10810810810810811,query_1,"['GO:0006163', 'GO:0046496']","['ENSMUSG00000025742', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['IMP'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
GO:CC,GO:0005739,mitochondrion,0.0008117919966471796,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",1853,41,13,25413,0.3170731707317073,0.007015650296815974,query_1,"['GO:0005737', 'GO:0043231']","['ENSMUSG00000006057', 'ENSMUSG00000024712', 'ENSMUSG00000028149', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000021474', 'ENSMUSG00000030647', 'ENSMUSG00000033216', 'ENSMUSG00000040410', 'ENSMUSG00000018770', 'ENSMUSG00000020532', 'ENSMUSG00000016319', 'ENSMUSG00000040414']","[['HDA', 'IEA'], ['HDA'], ['IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IDA', 'HDA', 'ISS', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['HDA'], ['ISS', 'IEA'], ['HDA', 'IEA'], ['HDA'], ['IDA', 'IMP', 'HDA', 'IEA'], ['IDA', 'HDA', 'TAS', 'IEA']]"
GO:BP,GO:1901293,nucleoside phosphate biosynthetic process,0.0008290210225326141,True,"""The chemical reactions and pathways resulting in the formation of a nucleoside phosphate."" [GOC:TermGenie]",286,42,7,24936,0.16666666666666666,0.024475524475524476,query_1,"['GO:0006753', 'GO:0034654', 'GO:0090407']","['ENSMUSG00000006057', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000030647', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['ISS', 'IEA'], ['IEA'], ['IMP', 'IEA'], ['NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:CC,GO:0005740,mitochondrial envelope,0.0009881023509241053,True,"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]",817,41,9,25413,0.21951219512195122,0.011015911872705019,query_1,"['GO:0005739', 'GO:0031967']","['ENSMUSG00000006057', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000021474', 'ENSMUSG00000030647', 'ENSMUSG00000040410', 'ENSMUSG00000018770', 'ENSMUSG00000016319', 'ENSMUSG00000040414']","[['HDA', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['IDA', 'HDA', 'IEA'], ['HDA', 'ISS', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'HDA', 'IEA'], ['TAS', 'IEA']]"
KEGG,KEGG:05208,Chemical carcinogenesis - reactive oxygen species,0.0010753778453827377,True,Chemical carcinogenesis - reactive oxygen species,223,27,6,10539,0.2222222222222222,0.026905829596412557,query_1,['KEGG:00000'],"['ENSMUSG00000006057', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000018770', 'ENSMUSG00000016319']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0006091,generation of precursor metabolites and energy,0.0012582102765428935,True,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",448,42,8,24936,0.19047619047619047,0.017857142857142856,query_1,['GO:0008152'],"['ENSMUSG00000025742', 'ENSMUSG00000022551', 'ENSMUSG00000041237', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432']","[['IMP'], ['NAS'], ['IEA'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
KEGG,KEGG:00190,Oxidative phosphorylation,0.0012945053923794029,True,Oxidative phosphorylation,135,27,5,10539,0.18518518518518517,0.037037037037037035,query_1,['KEGG:00000'],"['ENSMUSG00000006057', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000018770']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0006796,phosphate-containing compound metabolic process,0.001546740175205253,True,"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]",1819,42,14,24936,0.3333333333333333,0.007696536558548653,query_1,['GO:0006793'],"['ENSMUSG00000054469', 'ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000029162', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000024190', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['TAS', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['NAS', 'IEA'], ['IMP', 'ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0006793,phosphorus metabolic process,0.0015776908757786597,True,"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."" [GOC:ai]",1822,42,14,24936,0.3333333333333333,0.007683863885839737,query_1,['GO:0008152'],"['ENSMUSG00000054469', 'ENSMUSG00000006057', 'ENSMUSG00000058624', 'ENSMUSG00000029162', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000041237', 'ENSMUSG00000024190', 'ENSMUSG00000030647', 'ENSMUSG00000028307', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770', 'ENSMUSG00000020532']","[['TAS', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['NAS', 'IEA'], ['IMP', 'ISS', 'IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:1901137,carbohydrate derivative biosynthetic process,0.0019206058621693695,True,"""The chemical reactions and pathways resulting in the formation of carbohydrate derivative."" [GOC:TermGenie]",474,42,8,24936,0.19047619047619047,0.016877637130801686,query_1,"['GO:0009058', 'GO:1901135']","['ENSMUSG00000006057', 'ENSMUSG00000018566', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000030647', 'ENSMUSG00000021957', 'ENSMUSG00000031432', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IDA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA']]"
KEGG,KEGG:05010,Alzheimer disease,0.0023144761892245334,True,Alzheimer disease,382,27,7,10539,0.25925925925925924,0.01832460732984293,query_1,['KEGG:00000'],"['ENSMUSG00000006057', 'ENSMUSG00000025487', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000030647', 'ENSMUSG00000018770', 'ENSMUSG00000016319']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0009165,nucleotide biosynthetic process,0.0026236665493393537,True,"""The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates)."" [GOC:go_curators]",213,42,6,24936,0.14285714285714285,0.028169014084507043,query_1,"['GO:0009117', 'GO:1901293']","['ENSMUSG00000006057', 'ENSMUSG00000025742', 'ENSMUSG00000024712', 'ENSMUSG00000030647', 'ENSMUSG00000031432', 'ENSMUSG00000018770']","[['ISS', 'IEA'], ['IEA'], ['IMP', 'IEA'], ['NAS', 'IEA'], ['IEA'], ['IEA']]"
