 AhR
 AP-2
 AP2
 AP-2alpha
 AP-2alphaA
 AP-2beta
 AP-2gamma
 AP-4
 Arnt
 Arntl
 ARNTLIKE
 Atf-1
 ATF1
 ATF-2
 ATF2
 ATF-3
 ATF4
 BCL6B
 BEN
 BMAL1
 BTEB2
 BTEB3
 CACD
 c-ets-1
 c-Ets-1(p54)
 CKROX
 c-Myc
 CNOT3
 CP2/LBP-1c/LSF
 CPBP
 CREB
 CREB1
 Crem
 ctcf
 DEAF1
 DEC1
 DEC2
 Dlx-5
 DRRS
 E2F
 E2F-1
 E2F1
 E2F-2
 E2F-3
 E2F-4
 E2F-7
 E4BP4
 Ebox
 Egr
 Egr-1
 Egr1
 EGR-1
 Egr-2
 egr-3
 EGR3
 Ehf
 Elf-1
 ELF1
 ELF4
 Elf5
 Elk-1
 ER71
 ER81
 ER-beta
 ERF
 ERG
 Erm
 ESE-1
 Ets2
 ETV3
 FKLF
 Fli-1
 Foxn1
 FOXN4
 FOXO1
 FOXO1A
 FPM315
 FXR
 GABP
 GABP-alpha
 GABPalpha
 GABPalpha_GABPbeta
 GABP-beta
 GATA-1
 GKLF
 GLI
 Gli2
 GMEB1
 HAIRYLIKE
 HDAC1
 Hes1
 HES-1
 HIC1
 HIF1
 HIF-1alpha
 HIF2A
 Hlf
 Hoxa13
 Hoxd9
 HSF4
 Ikaros
 Irf-4
 IRF4
 IRF-5
 IRF6
 Kaiso
 KLF
 Klf15
 Klf17
 KLF3
 Klf7
 KROX
 LF-A1
 LKLF
 LRF
 Lyf-1
 Max
 MAZ
 Mitf
 MOVO-B
 MTF-1
 Mxi1
 MYBL1
 Myc
 MYF6
 MZF-1
 nerf
 Net
 NF-kappaB
 NFKAPPAB
 NF-Y
 NGFI-C
 N-Myc
 Npas4
 Nrf1
 NRF-1
 Osx
 p300
 p53
 P73
 Pax-3
 Pax-4
 Pax-5
 PEA3
 Pet-1
 PLAG1
 Plagl1
 PPARgamma
 PUR1
 REST
 REX1
 RNF96
 Sall1
 SAP-1a
 Sp1
 SP100
 Sp2
 Sp3
 Sp4
 Sp5
 SP6
 Spic
 Spz1
 SREBP-1
 SREBP-2
 SRY
 Tax/CREB
 Tbx5
 Tcfap2b
 TCFAP2C
 Tcfl5
 TEL1
 Tfap2a
 TIEG1
 USF
 usf1
 USF2
 VDR
 Wt1
 XBP-1
 ZAC
 ZBED6
 ZBP89
 Zbtb2
 ZEB
 ZF5
 Zfp281
 Zfp536
 Zfp740
 Zfx
 Zic1
 Zic2
 Zic3
 ZN451
 ZNF151
TFIIH-class transcription factor complex binding
transcription factor AP-1 complex
