,ZT0.Tx,ZT0.V,ZT12.Tx,ZT12.V
mRNA Processing WP310,0.130312621467044,-0.0325204992395609,-0.0615466864063496,-0.171201052016365
FAS Pathway And Stress Induction Of HSP Regulation WP571,0.326760563380282,-0.16247938078924,-0.392957746478873,0.406934912012491
Hypoxia Dependent Proliferation Of Myoblasts WP5024,0.864978902953587,0.150492264416315,-0.535864978902953,-0.471167369901547
Dopaminergic Neurogenesis WP1498,0.369901547116737,0.631504922644163,-0.924050632911392,-0.0886075949367089
Estrogen Metabolism WP1264,-0.766526019690577,-0.271448663853727,0.713080168776371,0.285513361462729
Amino Acid Metabolism WP662,-0.176553672316384,-0.734463276836158,0.310477657935285,0.586158192090395
Omega 3 Omega 6 Fatty Acid Synthesis WP4350,-0.0407876230661042,0.637130801687764,-1,0.060478199718706
Omega 9 Fatty Acid Synthesis WP4351,-0.0407876230661042,0.637130801687764,-1,0.060478199718706
Burn Wound Healing WP5056,-0.887482419127989,0.381153305203938,0.90154711673699,-0.226441631504923
GPCRs Orphan WP1398,0.330520393811533,0.69620253164557,-0.414908579465541,-0.60056258790436
Oxidative Damage Response WP1496,0.638028169014084,0.519348348153437,-0.868175822305434,-0.876011506706019
Alzheimer 39 S Disease WP2075,-0.516033840291575,0.408673083640255,0.624823695345557,-0.43164273669317
Apoptosis Modulation By HSP70 WP166,0.220815752461322,-0.687763713080169,-0.223628691983122,0.772151898734177
Glucuronidation WP1241,-0.144866385372715,-0.89592123769339,0.977496483825598,0.0801687763713081
Eicosanoid Metabolism Via Cytochrome P450 Monooxygenases WP4349,0.240506329113924,0.864978902953587,-0.462728551336146,-0.541490857946554
Mitochondrial Long Chain Fatty Acid Beta Oxidation WP401,-0.0323488045007032,0.710267229254571,-0.994374120956399,0.0576652601969058
IL 3 Signaling Pathway WP373,0.505943772777231,-0.207344632768362,0.360979533804767,-0.582364810330912
IL 6 Signaling Pathway WP387,0.276415434547422,0.185788127007024,-0.576627593853952,0.03954802259887
IL 7 Signaling Pathway WP297,0.585915492957746,0.394366197183099,-0.435211267605634,-0.590140845070423
Myometrial Relaxation And Contraction Pathways WP385,0.109620657785222,0.267309301352671,0.111129186107558,-0.530230201443381
Complement Activation Classical Pathway WP200,0.853727144866385,-0.0351617440225036,-0.0323488045007032,-0.966244725738397
Selenium Metabolism Selenoproteins WP108,-0.556459116691097,-0.674647887323944,0.0994440326167532,0.850704225352113
Glycolysis And Gluconeogenesis WP157,0.352980899093189,-0.231167996572591,-0.16397656009047,0.385486834047765
Translation Factors WP307,-0.264788732394366,-0.757746478873239,0.246478873239437,0.625352112676056
Mitochondrial Gene Expression WP1263,-0.060478199718706,-0.9971870604782,0.119549929676512,0.212376933895921
G Protein Signaling Pathways WP232,0.657263751763047,0.314527503526093,-0.648801128349788,-0.431562451026485
Sphingolipid Metabolism Overview WP4344,-0.310829817158931,-0.673699015471167,0.234880450070324,0.721518987341772
Sphingolipid Metabolism Integrated Pathway WP4690,-0.310829817158931,-0.673699015471167,0.234880450070324,0.721518987341772
Novel Jun Dmp1 Pathway WP3654,0.431786216596343,0.561181434599156,-0.561181434599156,-0.445850914205345
Inflammatory Response Pathway WP458,0.859353023909986,0.144866385372715,-0.392405063291139,-0.623066104078762
GPCRs Odorant WP1397,0.622315544644011,0.527989412987995,-0.471830985915493,-0.538028169014085
Metapathway Biotransformation WP1251,-0.735270379338176,0.460975099393178,0.484231283604902,0.324874830227194
Eicosanoid Metabolism Via Lipoxygenases LOX WP4348,0.240506329113924,0.864978902953587,-0.462728551336146,-0.541490857946554
Prostaglandin Synthesis And Regulation WP374,-0.631504922644163,0.746835443037975,0.518987341772152,-0.443037974683544
EPO Receptor Signaling WP1249,-0.80309423347398,-0.243319268635724,0.850914205344585,0.172995780590717
Calcium Regulation In Cardiac Cells WP553,0.708724377830695,-0.546554231694356,0.0163283044638975,-0.803256021409456
Mapk Cascade WP251,-0.195499296765119,-0.957805907172996,0.606188466947961,0.313642756680731
Insulin Signaling WP65,-0.637906647807638,-0.434517261249935,0.323903818953324,0.717114568599717
Eicosanoid Metabolism Via Cyclooxygenases COX WP4347,0.240506329113924,0.864978902953587,-0.462728551336146,-0.541490857946554
Mechanisms Associated With Pluripotency WP1763,0.743659568659569,-0.326122354302932,-0.600333794908278,0.0102179199401422
Toll Like Receptor Signaling WP88,0.443037974683544,0.549929676511955,-0.443037974683544,-0.566807313642757
Kit Receptor Signaling Pathway WP407,-0.147587889541976,0.831536155709769,-0.0352112676056338,-0.808376575240919
Nuclear Receptors WP509,0.479606188466948,0.49929676511955,-0.70182841068917,-0.263009845288326
Splicing Factor NOVA Regulated Synaptic Proteins WP1983,0.19549929676512,0.831223628691983,-0.912798874824191,-0.0210970464135021
SIDS Susceptibility Pathways WP1266,0.760900140646976,-0.116736990154712,0.645569620253164,-0.682137834036568
GPCRs Other WP41,-0.631504922644163,0.746835443037975,0.518987341772152,-0.443037974683544
GPCRs Class A Rhodopsin Like WP189,0.503487592219987,-0.729238723480121,0.765080689146267,-0.871168678739101
Apoptosis WP1254,0.507034016967301,-0.438093174431203,-0.266197183098592,0.0477556930367249
IL 1 Signaling Pathway WP37,0.443037974683544,0.549929676511955,-0.443037974683544,-0.566807313642757
IL 2 Signaling Pathway WP450,0.589550918073888,-0.84940100372349,0.563194347603774,-0.646360088240285
Fibrin Complement Receptor 3 Signaling Pathway WP5128,0.443037974683544,0.549929676511955,-0.443037974683544,-0.566807313642757
Microglia Pathogen Phagocytosis Pathway WP3626,0.822784810126582,-0.0661040787623066,0.130801687763713,-0.887482419127989
Electron Transport Chain WP295,-0.877256129368805,-0.426056338028169,0.623280176929345,0.6895061355256
Notch Signaling Pathway WP29,0.673699015471168,0.288326300984529,-0.819971870604782,-0.156118143459916
Wnt Signaling Pathway And Pluripotency WP723,0.559154929577465,0.412676056338028,-0.815492957746479,-0.194366197183099
ErbB Signaling Pathway WP1261,0.293952180028129,0.783403656821378,-0.707454289732771,-0.257383966244726
Oxidative Stress And Redox Pathway WP4466,0.721889230117547,0.726692097026604,-0.191549295774648,-0.788732394366197
Endochondral Ossification WP1270,0.721518987341772,0.246132208157525,-0.580872011251758,-0.428973277074543
Wnt Signaling Pathway WP539,0.885915492957746,0.129577464788732,-0.492957746478873,-0.514084507042254
Dravet Syndrome Scn1a A1783V Point Mutation Model WP5298,0.0126582278481013,-0.952180028129395,-0.00421940928270037,0.744022503516174
G1 To S Cell Cycle Control WP413,0.431786216596343,0.561181434599156,-0.561181434599156,-0.445850914205345
P53 Signaling WP2902,-0.575246132208157,-0.451476793248945,0.578059071729958,0.426160337552743
Mapk Signaling Pathway WP493,0.117322503069477,-0.339289350821749,0.433712771210253,0.0997169595547593
IL 5 Signaling Pathway WP151,0.822784810126582,-0.0661040787623066,0.130801687763713,-0.887482419127989
Neural Crest Differentiation WP2074,0.673699015471168,0.288326300984529,-0.819971870604782,-0.156118143459916
GPCRs Non Odorant WP1396,-0.512875679272485,-0.25889013171411,0.747887323943662,-0.365782932891466
MicroRNAs In Cardiomyocyte Hypertrophy WP1560,0.293952180028129,0.783403656821378,-0.707454289732771,-0.257383966244726
Cytoplasmic Ribosomal Proteins WP163,-0.409282700421941,-0.609001406469761,0.516174402250352,0.49648382559775
ESC Pluripotency Pathways WP339,0.651195499296765,0.308016877637131,-0.654008438818565,-0.322081575246132
Chemokine Signaling Pathway WP2292,0.673239436619718,0.295774647887324,-0.42112676056338,-0.670422535211268
