,ZT0.Tx,ZT0.V,ZT12.Tx,ZT12.V
Novel Jun Dmp1 Pathway WP3654,0.553290362633751,-0.160468548238332,-0.0449640287769784,-0.00179856115107913
Synthesis And Degradation Of Ketone Bodies WP543,-0.48294434470377,-0.475763016157989,0.052064631956912,0.856373429084381
Aflatoxin B1 Metabolism WP1262,0.310592459605027,-0.314183123877917,-0.845601436265709,0.497307001795332
TGF Beta Signaling Pathway WP113,0.630896280896281,0.67865990990991,-0.214414414414414,-0.884684684684685
Inflammatory Response Pathway WP458,0.919064748201439,0.22841726618705,-0.257194244604317,-0.821942446043165
Mir 193A And MVP In Colon Cancer Metastasis WP3979,-0.47935368043088,-0.47935368043088,0.378815080789946,0.529622980251347
Ptf1a Related Regulatory Pathway WP201,0.788150807899461,-0.917414721723519,-0.0700179533213645,-0.490125673249551
Biogenic Amine Synthesis WP522,0.551166965888689,-0.364452423698384,-0.766606822262119,0.274685816876122
Endochondral Ossification WP1270,-0.0419154510033379,0.136690647482014,0.0359712230215827,-0.668935122172532
Oxidative Stress Response WP412,0.523381294964029,0.675341359565409,-0.803956834532374,-0.325223790433302
Fatty Acid Omega Oxidation WP33,0.324955116696589,0.127468581687612,-0.99640933572711,-0.0592459605026929
Nuclear Receptors In Lipid Metabolism And Toxicity WP431,-0.0305755395683453,0.265689575998775,-0.0160963217556518,-0.0701438848920863
Type II Interferon Signaling IFNG WP1253,-0.121485790091331,0.3159035685359,-0.0825235915163973,-0.0689472326521253
ApoE And miR 146 In Inflammation And Atherosclerosis WP3592,0.640933572710952,0.547576301615799,-0.536804308797127,-0.551166965888689
Hypoxia Dependent Self Renewal Of Myoblasts WP5023,-0.464991023339318,0.0843806104129264,0.953321364452424,-0.03770197486535
Oxidation By Cytochrome P450 WP1274,-0.237410071942446,-0.706834532374101,0.806646990100227,0.720106483620443
P38 Mapk Signaling Pathway WP350,-0.631294964028777,-0.386690647482014,0.365107913669065,0.54136690647482
Nod Like Receptor NLR Signaling Pathway WP1256,0.640933572710952,0.547576301615799,-0.536804308797127,-0.551166965888689
Heart Development WP2067,0.658273381294964,0.399280575539568,-0.714028776978417,-0.361510791366906
Ectodysplasin A Signaling In Hair Follicle Development WP3652,0.640933572710952,0.547576301615799,-0.536804308797127,-0.551166965888689
Monoamine GPCRs WP570,0.0807899461400359,-0.888689407540395,0.946140035906643,0.03770197486535
Cytokines And Inflammatory Response WP222,0.946140035906643,0.192100538599641,-0.321364452423698,-0.684021543985637
Dopaminergic Neurogenesis WP1498,0.324955116696589,0.127468581687612,-0.99640933572711,-0.0592459605026929
Iron Homeostasis WP1596,0.543985637342908,0.353680430879713,-0.895870736086176,-0.199281867145422
EGFR1 Signaling Pathway WP572,0.379623956342009,0.305226302162144,-0.453466009459228,0.0073506112306333
GPCRs Class A Rhodopsin Like WP189,0.682017352225204,-0.424324324324324,0.219067611300621,-0.613351938895417
Transcriptional Activation By Nfe2l2 Response To Phytochemicals WP1245,0.475763016157989,0.0269299820466786,-0.978456014362657,0.0269299820466786
IL 2 Signaling Pathway WP450,0.253703109285057,0.26707773871953,-0.693693693693694,0.38512097002663
ID Signaling Pathway WP512,0.778776978417266,0.366906474820144,-0.348920863309353,-0.726618705035971
Focal Adhesion WP85,0.402956600007827,0.120418679549114,-0.381837606837607,-0.207360057920207
Glucuronidation WP1241,0.102333931777379,-1,0.770197486535009,-0.0161579892280073
BDNF Pathway WP2152,0.935368043087971,0.220825852782765,-0.468581687612208,-0.533213644524237
BMP Signaling Pathway In Eyelid Development WP3663,0.971274685816876,-0.0843806104129263,-0.429084380610413,-0.0197486535008977
One Carbon Metabolism And Related Pathways WP1770,-0.227303436438666,0.0107913669064748,-0.832684537301665,0.929206108797173
Mapk Signaling Pathway WP493,0.187640578568028,0.224804098854732,-0.0415664556962025,-0.362959332555925
Adipogenesis Genes WP447,0.0952226929042939,0.0295919483645116,0.417366891939513,-0.710148415563578
EBV LMP1 Signaling WP1243,0.640933572710952,0.547576301615799,-0.536804308797127,-0.551166965888689
Statin Pathway WP1,0.066427289048474,-0.992818671454219,0.741472172351885,0.170556552962298
Insulin Signaling WP65,0.254446819003781,0.352427014357452,0.0803452136629365,-0.316469066393023
Blood Clotting Cascade WP460,-0.547576301615799,-0.418312387791741,0.0341113105924596,0.870736086175943
Regulation Of Actin Cytoskeleton WP523,-0.464490597425761,0.427797833935018,-0.132153535052787,-0.514440433212996
Hedgehog Signaling Pathway WP116,0.572710951526032,0.526032315978456,-0.70556552962298,-0.385996409335727
Tyrobp Causal Network In Microglia WP3625,0.325205099078632,-0.191715569523903,-0.6165550318366,0.542259106100946
