,ZT0Tx,ZT0V,ZT12Tx,ZT12V
0610031O16RIK,467.6551912527145,401.5117676109544,388.7608233467074,485.4125487437949
1110019D14RIK,54.25192363872923,53.87942313822078,48.17420508221574,30.326633482109855
1110020A21RIK,28.6674791235816,31.257053840684723,21.311561405516155,16.93282362500807
1500026H17RIK,18.955474238529735,15.313540079267165,22.933212958537975,26.887098765200022
1600012H06RIK,447.3171316567116,480.01614274342813,428.7432531515929,382.37641444815443
1700007F19RIK,26.843638897473326,32.74770768501987,12.191289465948065,8.527379607393977
1700047M11RIK,33.53933839560392,20.135184490021103,30.147305999018528,36.63556008835654
1810008I18RIK,1031.276348773775,1354.1004763545398,805.6280336437502,874.547289622646
1810021B22RIK,37.64895057234017,37.474249651207685,63.68594740689886,57.95053375168373
1810034E14RIK,145.72329527476424,165.50740704474006,118.81175583350883,109.5556615275795
2210408F21RIK,215.8115697453305,193.7383842694924,239.4696662546282,250.01834340828813
2310001H17RIK,449.54812266737736,433.03297989119466,367.9314655698931,324.1771065370353
2310015A16RIK,42.32686824163241,57.6559723897206,31.33490030078043,29.489255149029333
2500002B13RIK,27.161387077385083,19.992537977673894,27.443336185366736,35.01715855509984
2510016D11RIK,37.469393719966035,26.859582316168073,43.30020863154835,40.57874938879953
2610306O10RIK,36.382332991959096,23.16327719271003,41.880404995610874,43.018928431395864
2610528J11RIK,138.18682112251352,127.37551448942173,97.06559771634619,71.64127658811893
2700062C07RIK,116.91066327134445,141.6432003556723,96.04877189008731,95.78550539405688
2810021J22RIK,80.6970581296684,85.64266602073826,49.62842171094301,53.33363762359503
2900026A02RIK,2331.3580895040654,2275.3094553345154,2270.631154956195,2949.336906141591
2900052L18RIK,58.29175853516333,82.0854946788519,48.43735429743834,50.484527893566955
2900076A07RIK,80.5058068404815,78.95827180626173,62.959877125701134,53.269946560375296
2900089D17RIK,7.218010481846416,6.789553887465483,17.114111314978235,16.590259771489386
3110045C21RIK,15.268299184018758,30.296498763840248,13.594604629980735,13.83902992352887
3300002I08RIK,31.41213473993984,34.97851856829282,23.376851461786398,20.302096549474502
4632427E13RIK,736.3510739154432,708.8845495250052,546.3395292324326,506.5542244206784
4633401B06RIK,103.0983403301538,85.57599185189486,110.06411978831271,113.44896619016083
4732471J01RIK,49.788474483822505,30.531977713968207,41.59809327641127,54.927598229139534
4833411C07RIK,250.23811724545172,199.7542906796651,127.92108847924668,133.36843595871775
4833422C13RIK,36.76752588387608,24.7351881388782,38.365050443277,39.12691153707072
4833439L19RIK,1335.4304543272726,1433.09660690468,1708.0781585275995,1629.3078073785105
4930596I21RIK,18.599050847324634,13.756978274353036,20.32024634097942,25.74870250370982
5031439G07RIK,989.3932106574983,892.8917959983195,1130.3252475177562,1152.299435873693
5330406M23RIK,151.05744401655252,113.05319915149919,178.08876242740106,187.86901689653723
5730409E04RIK,120.57933228097126,131.42404072644638,86.43659501107919,89.82549696515281
5730414N17RIK,111.6639784637414,103.28086239485039,64.87561777499258,67.00075232420937
5730455P16RIK,430.07998931097546,454.19561177442256,416.93010975452216,366.41422539121737
5830487J09RIK,19.720665492096693,14.44129173563666,19.40538250642862,26.678202781525595
6030443J06RIK,54.844265747484904,62.971986447156695,31.498862113332233,30.041311372714038
6430550D23RIK,63.28233375460886,51.29864683916263,76.71844356823368,71.67775595766018
6430571L13RIK,29.54549800800999,27.513204649445598,18.632423332665635,11.739335350249503
6430710M23RIK,10.269689176533879,7.0879332011305465,23.712280272546703,15.310743538620775
6720427I07RIK,318.46602275009394,334.9981744043603,266.4363674911523,237.00178761477147
6820402A03RIK,89.61947739970736,61.805891648929894,92.05995687780035,84.436634146259
6820431F20RIK,126.57093527522353,104.27287480796538,133.0378343781016,140.25328450581551
9530086O07RIK,30.410667023576043,21.292986932876797,45.78360692756027,45.608756148669194
9630010A21RIK,73.37658737329683,51.5374087698672,81.47103640214739,86.40455024334989
9630013D21RIK,107.71684807548017,132.3981729169912,127.62406573162087,93.86508314995324
9930024M15RIK,41.09644336001861,33.02997880366845,57.28407718834017,59.42900808654522
A2ML1,117.45101865418962,87.02361302401175,121.12578269942867,152.02938945033318
A530083I20RIK,9.944979444321556,4.197209406961574,13.288718654856504,16.326702819112448
A830052D11RIK,7.708607806569456,8.873944453084915,15.743951658858693,20.004255782976788
A930038B10RIK,68.48363564335571,72.60774196705592,52.41852456353431,37.613651996869805
AI597479,288.65389785336106,296.3163225447345,236.59618545035002,205.4900503952217
AI838599,11.857252939845315,8.23944506636774,19.790474798791465,27.569740692089994
AU020206,85.43804537169994,76.09673534157793,107.50830233622878,106.88623052267282
AU040320,798.5537240963798,761.2040733480434,854.6076353831519,912.216679376309
AU041133,112.81827610273648,109.47189278193402,86.54743973207032,72.56234315790907
ABCC1,114.45936147345202,115.05533395049831,88.30961840225359,80.69558010972084
ABCC10,306.7807318161405,267.2940957099778,323.47653902342734,338.79897523506895
ABCC6,5484.0265861246635,5034.428645133245,5631.400312754893,6063.127158228651
ABHD11,461.2431838160755,480.0171628717214,542.0499970250283,543.6726555420407
ABHD2,2620.49099151052,2391.4239011783798,2980.233104734847,3186.0566859697174
ABHD5,922.6770145239408,870.7088717706071,651.630275301695,591.7717867718405
ABRAXAS2,689.9631862320166,723.0570971741797,604.745327890096,586.7737680364902
ACADSB,3666.20345910124,3731.8173189088084,3354.3837229227406,3172.1963819888983
ACAP3,133.29817678391996,140.96140366670087,151.99153373523853,183.47007326149404
ACER3,478.47153973068947,532.1281939060271,432.5735159688683,406.9184380479513
ACOT13,431.235464086218,484.0032795699386,564.7953355686335,578.9266395711119
ACOT6,30.16356155868812,33.653661908200334,19.71264602517919,10.457333337233498
ACOT7,318.26791380911504,334.88142508641965,438.0102999091025,490.6978739774698
ACOX2,5987.235632346044,6345.220959207677,5286.7562229125115,4306.803208608667
ACP2,1514.6697767630642,1527.453699169199,1193.4194625651924,1210.4681754504793
ACP3,145.98270676644893,185.24232566785784,97.75032828305322,85.66614957004717
ACSF2,2953.925569604168,2758.623385192222,3489.6406299519354,3785.35397415416
ACSS2,4876.734522597357,7928.102118983119,4236.576658870932,4319.459889217044
ACTB-PS1,28.893388230042174,51.66596317395449,20.34022742641159,24.30620614717095
ACTMAP,254.86433818616135,231.47528411355665,254.70452597943657,337.27608921385917
ACTR1B,1225.2363725756354,1317.8369544932834,1427.8061761182225,1526.0709679869676
ADAM23,1030.8595362322435,1016.1757086514865,913.9732704839524,809.1941774525184
ADAMTS14,27.259829957890567,21.236882280691848,38.05223774645185,40.258452083518364
ADAMTS7,251.47019080019817,243.49280639977505,307.64044674234844,398.3140833328177
ADAMTSL2,181.51580482308387,140.52440556602372,208.67108453970295,227.98011609498008
ADAP2,1172.7009802904013,1022.2915015789988,1390.629418499413,1332.8632790711629
ADAR,890.1411358146872,879.1757716607644,691.804316020616,669.6573699398764
ADCK1,330.2935368539971,356.3696647620571,285.00675199940497,282.60098586285096
ADGB,90.62140676182598,91.56676012142343,69.84117638392438,52.8596066945606
ADGRE4,150.0724858178245,130.6103896374831,115.9617292264056,93.57271533496895
ADGRL4,522.388326008128,517.5102743949587,440.21390145566806,389.6854831057521
ADI1,1646.0290642780317,1726.9685601310684,2015.4068137085762,1954.7111255283871
ADNP2,252.36094576184985,279.3480676919333,200.48120604456702,201.8551411341766
ADPRM,253.80409384001345,266.03793645998724,228.92416155979774,196.87539899326046
ADPRS,263.2713258284743,301.90001047882555,251.5459393651369,229.89850635935534
ADRA1B,1357.8246421781641,1447.0007815657768,1197.8720952320482,1186.4116934154733
ADRB2,14.128997885363605,12.530997864132988,30.26647448712149,27.31045867933526
AFDN,2611.4858575611374,2459.9605100074173,2112.979745417279,2112.531547765276
AFF4,3729.9661339173313,3719.4222747150225,4297.267713827149,4333.934168041624
AFG1L,230.0669606209104,264.3268917322474,246.00110479473352,209.8355258345456
AFTPH,1205.9911680148232,1165.8161196327342,1021.308650271208,988.2516694682114
AGAP1,659.4445987458433,624.6647885217735,719.0485166045058,765.4016831613885
AGFG2,749.8720395654165,770.456660000017,805.0193574552188,893.738397020089
AGGF1,831.2188071568373,799.3236717343393,685.9417985962339,658.2619285632933
AGK,149.3814469838256,163.76945214880237,136.30890287630268,118.97636820501269
AGMO,1958.402778254926,1913.1167845279451,2215.8436248884786,2095.115182901444
AGO1,776.550023010919,738.9817419090657,844.166968546066,949.5822802492697
AGO2,1077.954488917352,1049.4985522602917,1224.7060933817393,1462.7012459023108
AGO3,960.4833951061312,870.671981331654,1029.0643312345155,1057.0602447030262
AGRN,1191.3796003369705,1022.3262616174977,1110.1364219008983,1234.8168141339777
AGTR1A,1009.4414839963677,987.1178045192892,707.2799061925659,695.7890739666876
AGXT2,2937.53001268419,3044.1969329310773,2584.153357306033,2507.3524119663916
AHDC1,523.6915644157662,437.75649550315853,559.4353637546683,650.0886920255938
AHR,1044.8838984748195,1352.2478857128733,1363.4392917090054,1721.1587472046833
AIFM3,104.75593521850509,106.22542083441893,130.4215342093346,146.85020899215135
AIMP2,96.90690741660966,119.04322983077124,139.35163505192327,152.68092472501436
AKAP9,2782.173179527876,2447.1508450220826,2754.998484577351,2685.08162206501
AKR1C14,7711.617618300214,7429.549689188367,9586.43318520238,8827.25051397077
AKR7A5,2525.3614944268834,2591.057904055979,2956.184385100281,2827.838480992693
AKT1,1060.8400239782077,1051.7449509313735,1283.4204940982104,1307.9936696402428
ALAD,2201.536742476736,2461.301161000157,2665.4682800837577,2808.5463429661245
ALBFM1,1537.1880368489426,1479.6764291961263,1037.5984815460918,1156.5186955447068
ALDH2,24310.971215192803,24731.63543201682,28637.27213048045,29905.756084385375
ALKBH5,2854.451050524269,2922.661200468276,3245.4485086167274,3366.330425674368
ALKBH7,148.35135971097907,182.51512905114618,115.7372846971707,120.84093670743063
ALS2,3498.6987028945227,3126.9499693789494,2460.939285710323,2395.448914985259
ALYREF2,66.82507141977418,65.91102051737117,50.55216827477683,41.78740744273314
AMER2,9.052575809537222,10.004070519478368,21.884748728526603,29.560113327964338
AMIGO2,105.09868934984678,90.57199403129533,140.5918069848593,142.04887898404624
AMY1,3944.228101605306,4129.580406038895,3416.278182125201,3312.681330604171
ANAPC16,442.56444997786724,526.4151782050824,428.26993225217404,422.83847955437966
ANAPC4,385.78438180813436,378.1469327888613,332.63244243709266,295.7102864024483
ANGPTL8,935.0676528931951,1539.741961906984,1106.1522671821506,736.0536692075382
ANK,513.6394496691952,497.2319382588567,595.9829605946551,583.0470218165289
ANKRD11,2229.355762647599,2057.8281223831345,2322.9210609160796,2416.7273142837716
ANKRD13B,24.65595208210457,19.332127087546198,36.01593156364651,35.51703959022943
ANKRD33B,1021.4337980086503,1071.2766723493842,1181.6687705780535,1315.7275445033422
ANKRD49,157.3020407922545,185.68837788399247,142.2093064052175,106.48582853853966
ANKRD52,935.924189265742,858.9115661117562,973.3329400530835,1172.1156215754143
ANKRD6,9.479388071028442,8.194156696368069,11.666368579129212,17.33322560914122
ANKS1,687.9700309051641,585.8251993767533,768.7327294390818,753.2343013225279
ANP32E,326.04975074374295,330.4562843399427,266.7785639612946,263.3891003401149
ANTXR2,993.3210228656798,1169.611011313526,1010.4830299822594,949.7863999021034
ANXA1,60.90859018032022,56.9734238014887,47.59199546938796,35.991381919936586
AOX3,37488.91282697805,33265.26043929132,23308.473429787267,20465.018954079253
AP1G1,2699.977530189116,2807.786299422848,2351.3553940413453,2412.3885205059823
AP1G2,120.23678595064666,117.53573020116309,172.59201572908574,179.4424093473039
AP1S1,203.39387445254158,228.95313368717368,283.13638313851817,276.02582653353403
AP2A1,667.1732257745928,684.0660524250275,805.0850096719429,851.2682685922307
AP2B1,1812.6425991304247,2022.7620507227423,1712.0953601676451,1715.3792354977124
AP3B1,1291.118842360946,1280.0082665095615,1145.0780596281395,1076.5830860358537
AP5Z1,298.59124629861003,251.3473061224856,321.7837062974255,324.4305356171847
APH1A,758.4064039815684,755.3285264281045,950.1705714704758,963.5248477580176
API5,1520.3407353847813,1659.5517681201613,1464.6273835602715,1402.294478483871
APOA2,89694.83499103108,107984.54770228054,88319.58689927105,89110.10178434545
APOA4,1087.358429083664,1289.6043520018109,1126.8675162698116,994.7864808843104
APOC3,17377.94125404243,21199.51913656479,17223.076845771826,15895.669968507998
APOC4,6525.380852506636,8280.374530961102,6638.295578834276,6711.33880553098
ARCN1,3222.651143632342,3550.992402259952,3215.521412519032,3123.271567779425
ARF2,198.07564534260288,223.003120928576,174.07383868765154,163.84008437073635
ARF3,951.7459350197506,1003.2846782823194,1131.8728397037535,1172.7780551623227
ARHGAP1,384.2360370981818,423.6905585376561,346.5675050973063,342.5514501509987
ARHGDIA,910.4640807214494,959.2186657222248,1008.6171516004925,1119.0192684651179
ARHGEF1,753.2653873426395,665.390064443071,826.7045136171305,852.4985968079103
ARHGEF12,7304.203610725895,7037.9523254325795,7720.060376369747,7995.427035086227
ARHGEF16,86.55564262245231,99.95765905006905,157.48881989394042,148.6287934682582
ARHGEF5,961.7058286081012,948.7408836254776,808.9920028402728,725.7797407393563
ARID2,978.7643617324957,942.6696101533764,1082.2317012555018,1095.3449963372677
ARID3B,91.45591364994026,92.95401201131935,84.95616909792433,119.48241357342027
ARID4A,811.8858170691836,693.9279672568883,732.2875522759751,784.1804608788539
ARL14EP,329.8498573296239,321.9868990018051,250.84815443469859,247.58046015529325
ARL5B,959.9845407439593,933.3994016470394,1133.620384632615,1232.84058050008
ARLN,231.8711755226751,244.59423325508908,221.82867804524895,191.93345040499557
ARMC10,151.95548212316092,162.48735277739343,140.0068032812096,119.98745615939055
ARMCX3,132.70370990788447,123.8465031942253,98.38940794028704,80.93875990751604
ARNT,1122.6186903423584,1039.464307349221,1237.6833378798278,1166.9770844940854
ARPC1A,674.5264012293852,655.0005506007037,725.9318529254917,751.6822506861465
ARPC1B,534.0182171563299,582.8718121237481,629.7580842481583,712.7796407270372
ARPP19,687.0264237828802,748.4099389145022,690.7751928586853,622.7453691883368
ARSA,626.1423779082352,695.1564715939226,1039.5402131921041,902.5887497034574
ARVCF,394.0245947190171,352.87611435863636,375.8246199402564,425.63087534635736
ASAP3,387.51871552908835,381.6844975139596,378.3304160624968,541.9224331807039
ASB1,227.8601561706735,200.50579330435173,241.67686097168627,247.82891767514792
ASH1L,2523.267993701655,2237.671723174716,2414.871609121869,2540.9282985916975
ASIC5,80.06934271314655,86.43214630951282,111.46326331789714,120.44927459308781
ASXL2,1320.4394466414465,1202.9041982316226,1376.0139559692593,1389.1514745796064
ATAD2,176.16891011294177,171.4533849235006,214.16723327227785,218.07302340710265
ATF4,2226.129909649561,2693.93430908243,1586.0082099955175,1573.2543103690368
ATG14,307.8381214561237,277.3602976784049,410.95455148406734,356.1454108830766
ATG16L1,1050.4963441394023,950.6997175232257,1129.7376837447,1125.6078489997929
ATG5,883.5533522218919,988.0393590974286,843.8458313620949,810.3203136278718
ATOSA,2832.1087627721517,2692.685610969978,3873.476178921195,4422.612523518236
ATP13A2,473.6431707507835,468.1925947034703,497.89967946702563,563.9269468378552
ATP1A2,20.69052344997626,15.72790250260844,29.190403927271564,30.948355111746373
ATP5F1E,1230.8723597566163,1338.0574837528125,1120.9166727294503,1103.061354347803
ATP5MJ,756.2057173531081,863.9978597867954,726.6675044586779,707.0428889280919
ATP5PB,4146.3781003219065,4823.79983875527,4388.0564637100515,4110.010257454345
ATP5PD,2674.2183294540246,2868.6917772688093,2552.1396125230085,2457.526180067275
ATP6AP2,590.7870163824148,627.4264473654737,683.7128843538343,704.4253955303948
ATP6V0B,931.5889336403503,1003.9947092693245,1142.1839187175085,1144.5461763469596
ATP6V0C,824.7554127712045,779.0704808933835,1003.1235981728173,1015.5160170580883
ATP6V0D1,1039.7184387321806,1135.9012617684687,1246.8996032313926,1244.1914625516606
ATP6V1B2,874.5766498102358,862.2093702413625,725.7036756652301,698.4673926663652
ATP6V1C1,600.718476511102,606.9000582785088,688.333234834129,701.5075281815792
ATP8B4,60.873320773062574,57.942539462737045,28.436028793529815,33.69232284871866
ATRIP,218.54274219864465,239.13555837630182,188.80649419654134,178.8616372562848
ATRN,3261.9641718526436,3151.1129318927146,3129.1986731674046,3551.4402118597063
ATRNL1,1688.5506158743462,1615.6771316281693,1928.5143211421118,1830.781852133953
ATXN1L,757.6392957617386,765.3524619325779,629.1753546767286,558.6699574904228
ATXN2L,1037.9449707895035,897.9494343537609,1031.9749216134824,1156.014397170209
ATXN7L3,571.776739499725,570.6797264885141,628.8985921356035,653.4181448429149
AUP1,2225.709290926958,2246.955144850871,2462.3574927948935,2486.06338864334
AVL9,904.0631778358369,847.5373836283716,798.6984484475506,690.6979780949644
AWAT2,25.93720825757931,22.211275545767442,41.13642969531279,35.53323680046193
B230219D22RIK,1060.847007234706,1077.6060246764393,935.786678257146,914.7177101357397
B230307C23RIK,117.22037666321684,121.4350511191893,82.39825607772399,84.57734772169172
B2M,18589.453818147766,19954.318126335893,18100.653620333116,16780.399909167718
