,Tx ZT0,Tx ZT12,V ZT0,V ZT12
0610005C13RIK,2164.497056123196,2614.096017416408,2027.1219381450835,2927.3351576614805
0610030E20RIK,933.2805751860806,463.7045503584812,866.5766325014597,431.1536717670976
0610031O16RIK,476.1821023452413,383.22062292592483,405.9686083467609,477.3752962283549
0610043K17RIK,29.809717807433216,67.48078059555782,40.789715950940376,75.08376514875256
1110019D14RIK,55.22215600942366,47.48425038341599,54.49138771971232,29.823696598497445
1110020A21RIK,29.193628663499485,20.99396774759656,31.615400390831525,16.65486268649627
1300002E11RIK,230.64194066328037,146.70909120147184,204.70628367804673,154.17672259485406
1300014J16RIK,84.64795454961273,47.00493839385988,80.03659542648548,61.34981974064405
1500026H17RIK,19.28592873031435,22.608366639233378,15.502626408328702,26.431688145207165
1600012H06RIK,455.4720958357795,422.5650375090577,485.80958975643716,376.11518721340764
1600014C10RIK,2826.6903619789096,3439.8757712684687,2720.004067340454,3339.225821451937
1700001L05RIK,165.4285139563328,323.2256677410488,136.46869552625748,265.9961420697459
1700007F19RIK,27.331381055670267,12.017566495209946,33.05814408406898,8.38739274804369
1700007L15RIK,15.002297797152272,19.391917720232815,26.23661129673164,27.150919783867675
1700018L02RIK,36.517262948308165,40.52693025987799,21.823994525891337,34.522186695944654
1700028E10RIK,150.90849499524714,154.66399986994296,119.66234154228101,168.91452179498614
1700030K09RIK,99.25443637266149,74.15414431202302,84.82426578226257,65.1777230050695
1700047M11RIK,34.165212030706584,29.711306227033873,20.40912892681923,36.02926732148683
1700066M21RIK,777.8356354709534,553.5989335408484,792.1911361191252,581.2211239458308
1810008I18RIK,1049.4917852218891,793.9028820070818,1369.07324075216,860.4964958800064
1810010H24RIK,27.298031810327032,46.88421256372086,29.983324305067118,43.61121290076519
1810019D21RIK,585.5308675714166,339.43371320353873,531.3029407724233,365.64464401138963
1810021B22RIK,38.378580868484214,62.75688344839165,37.89633256997984,57.001008924227186
1810034E14RIK,148.31490837647664,117.15314775378751,167.4216210709421,107.81808611945145
1810044K17RIK,9.427933954965795,26.46224063187681,15.48749822789018,33.154116146158316
1810053B23RIK,2.2662074514622503,32.671297922271144,6.894411283862535,29.053945308902076
1810055G02RIK,197.15862066625797,789.3555500829365,260.86722624463476,685.643625088337
1810059H22RIK,46.04300602422029,64.54637011062833,52.11168011660388,65.24109675193928
1810064F22RIK,195.401224378639,103.34781666376523,136.40552216605693,107.30626868439776
2210408F21RIK,219.68399277538904,236.01642429517506,195.984474449064,245.88620240197574
2310001H17RIK,457.6345368005994,362.68564820597476,437.94394122565154,318.8550700311708
2310015A10RIK,72.39243881059768,21.40445505383968,72.20303403551812,19.973713464059955
2310015A16RIK,43.14435351633096,30.888897875909322,58.41602060963205,29.032583148021217
2310061I04RIK,218.7986316720927,271.9742773666033,203.85837709478565,283.2998531292949
2410006H16RIK,100.45486660991257,123.02511709346561,93.41440533470582,109.05617309768427
2500002B13RIK,27.636860271283293,27.05480002454237,20.234732645252944,34.419871530164066
2510016D11RIK,38.166709748763004,42.69133264735947,27.153690492740726,39.905711099090304
2510039O18RIK,611.4262420167112,675.9946381138064,618.2272136908715,663.5507952992015
2610008E11RIK,434.1540398294137,261.6495754613779,354.40190123281377,254.0785544507986
2610021A01RIK,259.4764421088552,320.1427851870673,262.3894265975362,295.5546820745935
2610306O10RIK,37.09509622805333,41.257283774720726,23.442559503578355,42.2715234925246
2610507I01RIK,179.4180110345118,123.1301497839351,158.9316689843167,123.28184964387647
2610528J11RIK,140.71256735987834,95.68660771745395,128.8369367719669,70.52811271879379
2700062C07RIK,119.01436294813097,94.6715079193018,143.39955449302238,94.19598189672847
2810021J22RIK,82.13559704543286,48.927448600482506,86.64681959386019,52.49687517600856
2810405F17RIK,30.765565099976374,15.473302045883328,28.511469584258894,16.023122441851466
