	condition
ZT0Tx_Rep2	ZT0Tx
ZT0Tx_Rep3	ZT0Tx
ZT0Tx_Rep4	ZT0Tx
ZT0V_Rep2	ZT0V
ZT0V_Rep3	ZT0V
ZT0V_Rep4	ZT0V
ZT12Tx_Rep2	ZT12Tx
ZT12Tx_Rep3	ZT12Tx
ZT12Tx_Rep4	ZT12Tx
ZT12V_Rep2	ZT12V
ZT12V_Rep3	ZT12V
ZT12V_Rep4	ZT12V
