baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,912.960023716184,0.127895447159906,0.143168976102685,0.893318165998305,0.37168681241395,0.999991302521821
ENSMUSG00000000028,23.9405138360757,-0.115599656757307,0.501746354179609,-0.230394612326224,0.817785147301098,0.999991302521821
ENSMUSG00000000031,4.48105900606816,-2.43728273916669,1.24019935896916,-1.96523463872174,0.0493870865799431,NA
ENSMUSG00000000037,0.978215461129984,-0.698457938150076,2.1792320104496,-0.320506460441527,0.748584433743925,NA
ENSMUSG00000000049,18748.0813948425,0.13000980633546,0.1131881934404,1.14861632104693,0.250714224114938,0.999991302521821
ENSMUSG00000000056,858.804036216244,0.206087218686939,0.142743931753646,1.4437546742275,0.148807995924501,0.999991302521821
ENSMUSG00000000058,35.0535067601746,0.0607032031846321,0.368360775902627,0.164792798679191,0.869107072369852,0.999991302521821
ENSMUSG00000000078,134.383229372841,-0.0791164006752519,0.202286640178993,-0.391110360057618,0.695715663142224,0.999991302521821
ENSMUSG00000000085,177.581160785659,0.190357280107919,0.171327687092069,1.11107132384052,0.266537650024869,0.999991302521821
ENSMUSG00000000088,1072.54596278766,0.0900300862005823,0.118823362439511,0.757680007973292,0.44864257011144,0.999991302521821
ENSMUSG00000000093,78.1680236839042,0.0719112871503936,0.279060083807702,0.257691054088363,0.796645350800677,0.999991302521821
ENSMUSG00000000120,56.0729101290526,0.233919040242713,0.290854231350786,0.804248365775343,0.421253551285451,0.999991302521821
ENSMUSG00000000126,8.76122145795831,-0.110775643786186,0.67182538776202,-0.164887552337373,0.869032490088974,NA
ENSMUSG00000000127,202.329272839383,-0.0882313134348228,0.170822880215457,-0.516507585655607,0.605499942263758,0.999991302521821
ENSMUSG00000000131,939.902291866175,-0.0634822597385682,0.120417315584435,-0.527185475199,0.598064794190478,0.999991302521821
ENSMUSG00000000134,373.444087249991,-0.151985597298989,0.142274828200768,-1.06825359918564,0.285406132940779,0.999991302521821
ENSMUSG00000000142,211.35399966324,-0.238975971248121,0.215526762674208,-1.10879952114977,0.267516677110121,0.999991302521821
ENSMUSG00000000148,223.585339245164,-0.161754585049912,0.188148620461232,-0.859717093079839,0.389945010093105,0.999991302521821
ENSMUSG00000000149,1802.96371694718,0.367045102474744,0.122779932042622,2.98945516884085,0.00279475456703434,0.303801972543446
ENSMUSG00000000154,1195.46550000094,-0.266230615712978,0.157844326392448,-1.6866657281748,0.0916676455909879,0.999991302521821
ENSMUSG00000000159,159.471966721352,0.128668601432743,0.194359587018926,0.662013144842776,0.507962797462617,0.999991302521821
ENSMUSG00000000167,6.379851751912,0.851524210592796,0.872357885736387,0.976117972354885,0.329006006050538,NA
ENSMUSG00000000168,569.464265480533,0.113013745591731,0.130694259349319,0.864718512920053,0.387193305834319,0.999991302521821
ENSMUSG00000000171,1694.68425702702,0.0577396299246394,0.112961958156783,0.51114225414277,0.60925145031585,0.999991302521821
ENSMUSG00000000184,195.787032541775,0.165086965070998,0.185820768242058,0.888420420563262,0.374314644951466,0.999991302521821
ENSMUSG00000000194,463.452908435012,-0.0765182492885111,0.127209373243423,-0.601514238593792,0.547497531072653,0.999991302521821
ENSMUSG00000000197,2.13514688477752,-0.0538144750194796,1.32785000924574,-0.0405275254319183,0.967672562942324,NA
ENSMUSG00000000204,8.33375530864061,-1.89840712365069,0.828949735938549,-2.29013538619599,0.0220134696194486,NA
ENSMUSG00000000223,0.98553352314888,-0.302414495344571,2.22308775290727,-0.136033539363925,0.891794766825145,NA
ENSMUSG00000000244,7.82594497364325,0.546703889060687,0.778597182715765,0.702165254636257,0.482576111194309,NA
ENSMUSG00000000247,43.5146708313035,0.127146083579984,0.35043117065727,0.362827551389075,0.716733709306975,0.999991302521821
ENSMUSG00000000253,15.13436048608,0.386338913636056,0.524045528927402,0.737223947748969,0.460986172520129,NA
ENSMUSG00000000266,127.025944567985,-0.179808933501227,0.203701844629237,-0.882706456726016,0.377394892685476,0.999991302521821
ENSMUSG00000000275,1508.63060098837,-0.187138433149377,0.120993951357209,-1.54667593751766,0.121941408238096,0.999991302521821
ENSMUSG00000000276,61.5902242308087,-0.0460123183531046,0.276480697162527,-0.166421449400703,0.867825295142341,0.999991302521821
ENSMUSG00000000278,572.05722775831,0.108255189611224,0.128678697355331,0.841282915013432,0.400189459595342,0.999991302521821
ENSMUSG00000000282,187.842518214238,0.509936870254541,0.189933535022714,2.68481745571449,0.00725694295748667,0.53679907639965
ENSMUSG00000000290,141.351344618813,-0.320234657934799,0.32094834504417,-0.997776317839331,0.318387836316691,0.999991302521821
ENSMUSG00000000295,10.8052710044297,0.107076314962691,0.76454322776838,0.140052662915131,0.888618381388994,NA
ENSMUSG00000000296,46.1078032039733,-0.621695653902664,0.32806388523824,-1.89504447724012,0.0580865094578674,0.999991302521821
ENSMUSG00000000301,2845.50821834116,0.0733381409833413,0.112968943118556,0.649188519949027,0.516216531072478,0.999991302521821
ENSMUSG00000000303,577.903196215524,0.782884383588603,0.138585519817618,5.64910666438239,1.61283763973906e-08,4.03241666687559e-05
ENSMUSG00000000305,29.7748061271603,-0.895543846274985,0.523940767646245,-1.70924635297637,0.0874053259759822,0.999991302521821
ENSMUSG00000000308,3.40699573219601,2.62470311799628,1.38617963067443,1.89347979144613,0.0582940931734269,NA
