,Tx ZT0,Tx ZT12,V ZT0,V ZT12
0610005C13RIK,1529.2902984515028,1917.645214207619,1633.9606931711269,1900.2944210523074
0610030E20RIK,552.9499701410857,300.8306342309329,551.0439173947914,300.6544818281228
0610031O16RIK,178.35343692720102,250.1611708985421,259.98503301042336,315.00599728994723
0610043K17RIK,35.55486004576315,26.27083709561748,20.99474118444784,53.994433281833956
1110059E24RIK,65.8364824926816,96.70652559300731,65.08342083349552,97.42272098106302
1110065P20RIK,99.63451923705442,157.7140882849972,131.89263279189788,115.70293800201678
1600012H06RIK,229.680899944767,177.7893496445225,246.69394796136712,190.8780415513744
1600014C10RIK,1340.3839349296268,1879.3259143605285,1392.372010548396,1823.9032705317607
1700001L05RIK,112.31282497518987,175.78685656572972,114.67886049008507,187.93159003404097
1700028E10RIK,96.03035635888227,85.90568574507812,62.42270528065978,98.2814423974271
1700048O20RIK,31.16834701751444,8.912813365993976,22.589742306168453,5.346216479199132
1700066M21RIK,259.21804330292156,225.0525371342427,348.5554071255695,231.78870035237216
1700092C10RIK,3.888653841836345,20.32967248896315,9.252918587867915,11.947952119947047
1810008I18RIK,502.041856492633,595.4606044973992,473.0515722525424,380.8623140264308
1810010H24RIK,26.14634870273056,30.04932848386535,17.652775927827616,38.41375983137707
1810019D21RIK,397.8693399820791,276.58461304072756,438.58723373716504,218.19254496636117
1810044K17RIK,16.93457974264444,45.490998199079975,12.622947764665374,46.76696199969521
1810053B23RIK,8.538412612238274,58.36416634456384,14.567673549273051,106.04037327022631
1810055G02RIK,173.47091639957546,328.88783155078767,120.60265150752348,436.0488764566873
2010003K11RIK,157.08869274445777,48.18061064651361,59.58521091567382,58.12828968151077
2310015A10RIK,61.115600981363606,16.6534269658222,53.72177536777567,19.023172528540005
2310061I04RIK,151.37947993669812,203.08891242271122,167.07454799101265,211.8205739012238
2410002F23RIK,116.92933206598843,140.4417153972266,114.77417078998701,156.95636952510662
2510009E07RIK,218.65042370579312,175.66152549683852,213.1960504106394,141.3475009098207
2510039O18RIK,417.5564613989386,423.080314951972,390.98707100382063,446.42651679189294
2610008E11RIK,230.95648989954663,178.1462950688443,257.7404289267892,175.4938176861399
2610021A01RIK,98.85678846868714,149.70399322722957,116.27955824809226,154.51295071507144
2810459M11RIK,1105.482442600094,850.204336866504,1175.7087713090866,788.452557127081
2900026A02RIK,1963.8829463189315,2213.2917385836113,1868.310735383511,1960.63504253463
4632418H02RIK,69.28177404921993,126.48288338761392,78.38675872853514,120.5569397333037
